fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Jorge,Ortiz,The Naked Man,182.88,185,NULL,Orthodox,NULL,18,9,1,1,http://ufcstats.com/fighter-details/9c5828c6fd9dc948
Dustin,Ortiz,NULL,165.1,125,165.1,Orthodox,1988-12-25,19,8,0,NULL,http://ufcstats.com/fighter-details/f53c1f4ceeed8c08
Kenji,Osawa,NULL,170.18,135,167.64,Orthodox,1976-11-04,20,11,2,NULL,http://ufcstats.com/fighter-details/8eb239a52fc4ec14
Ode,Osbourne,The Jamaican Sensation,170.18,125,185.42,Southpaw,1992-01-09,12,8,0,1,http://ufcstats.com/fighter-details/6d68c1afe954f121
Kurt,Osiander,NULL,NULL,185,NULL,,NULL,4,1,0,NULL,http://ufcstats.com/fighter-details/f84dfc5a8d178403
Nick,Osipczak,NULL,187.96,170,193.04,Orthodox,1984-12-30,6,3,0,NULL,http://ufcstats.com/fighter-details/5b407acfe0ef9b76
Nissen,Osterneck,NULL,187.96,185,NULL,Orthodox,1981-05-01,12,4,0,NULL,http://ufcstats.com/fighter-details/d632d156c0549e07
Rachael,Ostovich,NULL,160.02,125,157.48,Orthodox,1991-02-25,4,6,0,NULL,http://ufcstats.com/fighter-details/01784fbc27c68b14
Pedro,Otavio,Te Pedro,190.5,245,NULL,Orthodox,NULL,19,8,0,NULL,http://ufcstats.com/fighter-details/4512e46543b960ad
Alexander,Otsuka,The Diet Butcher,185.42,205,NULL,Orthodox,1971-07-17,5,13,0,NULL,http://ufcstats.com/fighter-details/865aa315ea62c511
Takafumi,Otsuka,NULL,167.64000000000001,139,NULL,Orthodox,NULL,22,13,2,NULL,http://ufcstats.com/fighter-details/6b8f28da9a483049
Quemuel,Ottoni,NULL,182.88,155,182.88,Orthodox,1992-10-22,12,3,0,NULL,http://ufcstats.com/fighter-details/7ce21433c2a53168
Zak,Ottow,The Barbarian,180.34,170,182.88,Orthodox,1986-12-22,17,7,0,NULL,http://ufcstats.com/fighter-details/47cd337b86b1af92
Artur,Oumakhanov,NULL,170.18,154,NULL,Orthodox,1979-02-27,9,6,0,NULL,http://ufcstats.com/fighter-details/1ef0eae31904e534
